id,title,authors,categories,abstract,update_date,versions
0704.0001,"Calculation of prompt diphoton production cross sections at Tevatron and
  LHC energies","C. Bal\'azs, E. L. Berger, P. M. Nadolsky, C.-P. Yuan",hep-ph,"  A fully differential calculation in perturbative quantum chromodynamics is
presented for the production of massive photon pairs at hadron colliders. All
next-to-leading order perturbative contributi...",2008-11-26,2
0704.0002,Sparsity-certifying Graph Decompositions,Ileana Streinu and Louis Theran,math.CO cs.CG,"  We describe a new algorithm, the $(k,\ell)$-pebble game with colors, and use
it obtain a characterization of the family of $(k,\ell)$-sparse graphs and
algorithmic solutions to a family of problems ...",2008-12-13,2
0704.0003,"The evolution of the Earth-Moon system based on the dark matter field
  fluid model",Hongjun Pan,physics.gen-ph,"  The evolution of Earth-Moon system is described by the dark matter field
fluid model proposed in the Meeting of Division of Particle and Field 2004,
American Physical Society. The current behavior o...",2008-01-13,3
0704.0004,"A determinant of Stirling cycle numbers counts unlabeled acyclic
  single-source automata",David Callan,math.CO,"  We show that a determinant of Stirling cycle numbers counts unlabeled acyclic
single-source automata. The proof involves a bijection from these automata to
certain marked lattice paths and a sign-re...",2007-05-23,1
0704.0005,From dyadic $\Lambda_{\alpha}$ to $\Lambda_{\alpha}$,Wael Abu-Shammala and Alberto Torchinsky,math.CA math.FA,"  In this paper we show how to compute the $\Lambda_{\alpha}$ norm, $\alpha\ge
0$, using the dyadic grid. This result is a consequence of the description of
the Hardy spaces $H^p(R^N)$ in terms of dya...",2013-10-15,1
0704.0006,Bosonic characters of atomic Cooper pairs across resonance,Y. H. Pong and C. K. Law,cond-mat.mes-hall,"  We study the two-particle wave function of paired atoms in a Fermi gas with
tunable interaction strengths controlled by Feshbach resonance. The Cooper pair
wave function is examined for its bosonic ...",2015-05-13,1
0704.0007,Polymer Quantum Mechanics and its Continuum Limit,"Alejandro Corichi, Tatjana Vukasinac and Jose A. Zapata",gr-qc,"  A rather non-standard quantum representation of the canonical commutation
relations of quantum mechanics systems, known as the polymer representation has
gained some attention in recent years, due t...",2008-11-26,2
0704.0008,"Numerical solution of shock and ramp compression for general material
  properties",Damian C. Swift,cond-mat.mtrl-sci,"  A general formulation was developed to represent material models for
applications in dynamic loading. Numerical methods were devised to calculate
response to shock and ramp compression, and ramp dec...",2009-02-05,3
0704.0009,"The Spitzer c2d Survey of Large, Nearby, Insterstellar Clouds. IX. The
  Serpens YSO Population As Observed With IRAC and MIPS","Paul Harvey, Bruno Merin, Tracy L. Huard, Luisa M. Rebull, Nicholas
  Chapman, Neal J. Evans II, Philip C. Myers",astro-ph,"  We discuss the results from the combined IRAC and MIPS c2d Spitzer Legacy
observations of the Serpens star-forming region. In particular we present a set
of criteria for isolating bona fide young st...",2010-03-18,1
0704.0010,"Partial cubes: structures, characterizations, and constructions",Sergei Ovchinnikov,math.CO,"  Partial cubes are isometric subgraphs of hypercubes. Structures on a graph
defined by means of semicubes, and Djokovi\'{c}'s and Winkler's relations play
an important role in the theory of partial c...",2007-05-23,1
